target,feat1,feat3
0.70753,29.458,0.0047629
0.70558,29.5,0.0051975
0.70429,29.542,0.0047685
0.7007,29.583,0.0048988
0.70867,29.625,0.0049579
0.70768,29.667,0.0047402
0.70822,29.708,0.0049075
0.69526,29.75,0.0049669
0.7001,29.792,0.0049686
0.68961,29.833,0.0049867
0.68835,29.875,0.0047498
0.69668,29.917,0.0049937
0.69615,29.958,0.0049435
0.69191,30.0,0.0049805
0.68555,30.042,0.0048434
0.6818,30.083,0.00498
0.68746,30.125,0.0048657
0.6851,30.167,0.0048857
0.67518,30.208,0.0049237
0.67318,30.25,0.0049646
0.67784,30.292,0.0048232
0.67402,30.333,0.0048434
0.66642,30.375,0.0049044
0.67571,30.417,0.0048752
0.66288,30.458,0.0048492
0.67152,30.5,0.0047099
0.66124,30.542,0.0048717
0.66115,30.583,0.0050659
0.66113,30.625,0.0047489
0.6546,30.667,0.00519
0.65516,30.708,0.0048697
0.65397,30.75,0.0045441
0.65728,30.792,0.0046838
0.65728,30.833,0.0047825
0.64386,30.875,0.004711
0.65223,30.917,0.0050125
0.64841,30.958,0.0048735
0.64346,31.0,0.0047022
0.64752,31.042,0.0048226
0.63808,31.083,0.0046945
0.6432,31.125,0.0048018
0.63588,31.167,0.0052606
0.63894,31.208,0.0049624
0.63273,31.25,0.0047962
0.63622,31.292,0.0048143
0.63276,31.333,0.0047688
0.62465,31.375,0.0047347
0.61988,31.417,0.0048963
0.62309,31.458,0.0048253
0.62484,31.5,0.0049641
0.61989,31.542,0.0050184
0.61709,31.583,0.0050494
0.62436,31.625,0.0055131
0.62546,31.667,0.0048193
0.61587,31.708,0.0047581
0.62185,31.75,0.0050047
0.61759,31.792,0.0047799
0.61861,31.833,0.0047987
0.6167,31.875,0.0027057
0.62301,31.917,0.0022005
0.62544,31.958,0.0022043
0.62289,32.0,0.0020989
0.61895,32.042,0.0027828
0.62061,32.083,0.0022898
0.61972,32.125,0.0024361
0.62204,32.167,0.0010899
0.62007,32.208,0.00095158
0.6222,32.25,0.0010748
0.62165,32.292,0.0010591
0.61824,32.333,0.00068987
0.61967,32.375,0.0011508
0.61573,32.417,0.0016681
0.62243,32.458,0.0017611
0.62372,32.5,0.0015847
0.61883,32.542,0.0016543
0.62714,32.583,0.0013636
0.62269,32.625,0.0010438
0.62321,32.667,0.0012401
0.62412,32.708,0.0013313
0.61603,32.75,0.0018727
0.61625,32.792,0.0020117
0.61594,32.833,0.0016985
0.62401,32.875,0.0019998
0.61995,32.917,0.0019156
0.61669,32.958,0.0014308
0.62492,33.0,0.0017772
0.61626,33.042,0.001188
0.61676,33.083,0.0015944
0.62123,33.125,0.0020328
0.62659,33.167,0.0014871
0.61668,33.208,0.0015575
0.62387,33.25,0.0019194
0.62338,33.292,0.0013053
0.61937,33.333,0.0017153
0.61898,33.375,0.0015435
0.62673,33.417,0.001695
0.62403,33.458,0.0016412
0.6239,33.5,0.0016956
0.62024,33.542,0.0015636
0.61597,33.583,0.0016048
0.61923,33.625,0.0016938
0.61574,33.667,0.0019595
0.61543,33.708,0.0016884
0.62299,33.75,0.0014891
0.62585,33.792,0.0014744
0.61951,33.833,0.0017476
0.6189,33.875,0.0016415
0.61631,33.917,0.0017408
0.62135,33.958,0.0016565
0.61918,34.0,0.0015925
0.61965,34.042,0.0013653
0.61789,34.083,0.0019002
0.62048,34.125,0.0015599
0.62719,34.167,0.0014721
0.62211,34.208,0.0016614
0.62608,34.25,0.0012912
0.62096,34.292,0.0015884
0.6254,34.333,0.0017184
0.62472,34.375,0.0016984
0.62191,34.417,0.0016923
0.6232,34.458,0.0016168
0.61513,34.5,0.0014271
0.62496,34.542,0.0016405
0.61524,34.583,0.0014063
0.62604,34.625,0.0015595
0.62017,34.667,0.0014583
0.62667,34.708,0.0015494
0.61737,34.75,0.0018626
0.62748,34.792,0.0015085
0.61967,34.833,0.0012452
0.62105,34.875,0.0015675
0.6213,34.917,0.0017878
